[03-Mar-2025 18:26:31 America/Bogota] PHP Fatal error:  Cannot redeclare Hotel_Actions::actualizaTarifa() in /var/www/donlolo.lan/res/php/functionsHotel.php on line 1992
[03-Mar-2025 18:28:53 America/Bogota] PHP Fatal error:  Cannot redeclare Hotel_Actions::actualizaTarifa() in /var/www/donlolo.lan/res/php/functionsHotel.php on line 1992
[03-Mar-2025 18:30:43 America/Bogota] PHP Fatal error:  Cannot redeclare Hotel_Actions::actualizaTarifa() in /var/www/donlolo.lan/res/php/functionsHotel.php on line 1992
[03-Mar-2025 23:36:25 UTC] PHP Warning:  require(../../../../res/php/app_topHotel.php): Failed to open stream: No such file or directory in /var/www/donlolo.lan/pms/res/php/asignaTarifa.php on line 7
[03-Mar-2025 23:36:25 UTC] PHP Fatal error:  Uncaught Error: Failed opening required '../../../../res/php/app_topHotel.php' (include_path='.:/usr/share/php') in /var/www/donlolo.lan/pms/res/php/asignaTarifa.php:7
Stack trace:
#0 {main}
  thrown in /var/www/donlolo.lan/pms/res/php/asignaTarifa.php on line 7
[03-Mar-2025 23:36:56 UTC] PHP Warning:  require(/res/php/app_topHotel.php): Failed to open stream: No such file or directory in /var/www/donlolo.lan/pms/res/php/asignaTarifa.php on line 7
[03-Mar-2025 23:36:56 UTC] PHP Fatal error:  Uncaught Error: Failed opening required '/res/php/app_topHotel.php' (include_path='.:/usr/share/php') in /var/www/donlolo.lan/pms/res/php/asignaTarifa.php:7
Stack trace:
#0 {main}
  thrown in /var/www/donlolo.lan/pms/res/php/asignaTarifa.php on line 7
[03-Mar-2025 23:37:48 UTC] PHP Warning:  require(../res/php/app_topHotel.php): Failed to open stream: No such file or directory in /var/www/donlolo.lan/pms/res/php/asignaTarifa.php on line 7
[03-Mar-2025 23:37:48 UTC] PHP Fatal error:  Uncaught Error: Failed opening required '../res/php/app_topHotel.php' (include_path='.:/usr/share/php') in /var/www/donlolo.lan/pms/res/php/asignaTarifa.php:7
Stack trace:
#0 {main}
  thrown in /var/www/donlolo.lan/pms/res/php/asignaTarifa.php on line 7
[03-Mar-2025 23:37:59 UTC] PHP Warning:  require(../../res/php/app_topHotel.php): Failed to open stream: No such file or directory in /var/www/donlolo.lan/pms/res/php/asignaTarifa.php on line 7
[03-Mar-2025 23:37:59 UTC] PHP Fatal error:  Uncaught Error: Failed opening required '../../res/php/app_topHotel.php' (include_path='.:/usr/share/php') in /var/www/donlolo.lan/pms/res/php/asignaTarifa.php:7
Stack trace:
#0 {main}
  thrown in /var/www/donlolo.lan/pms/res/php/asignaTarifa.php on line 7
[03-Mar-2025 18:38:09 America/Bogota] PHP Fatal error:  Cannot redeclare Hotel_Actions::actualizaTarifa() in /var/www/donlolo.lan/res/php/functionsHotel.php on line 1992
[03-Mar-2025 18:38:49 America/Bogota] PHP Fatal error:  Cannot redeclare Hotel_Actions::actualizaTarifa() in /var/www/donlolo.lan/res/php/functionsHotel.php on line 1992
[03-Mar-2025 18:40:37 America/Bogota] PHP Warning:  PDOStatement::execute(): SQLSTATE[42S02]: Base table or view not found: 1146 Table 'donloloFeb11.huepedes' doesn't exist in /var/www/donlolo.lan/res/php/Medoo.php on line 565
