[26-Sep-2025 20:42:15 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traeTipoPlatosCarta.php on line 5
[26-Sep-2025 23:14:40 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traeTipoPlatosCarta.php on line 5
[26-Sep-2025 23:21:07 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[26-Sep-2025 23:21:09 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traeTipoPlatosCarta.php on line 5
[27-Sep-2025 00:37:28 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:37:30 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:37:31 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:37:33 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:37:34 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:37:37 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:37:38 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:38:16 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:38:17 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:38:19 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:38:21 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:38:23 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:38:53 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:38:55 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:38:58 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:39:00 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:39:02 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:39:44 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:39:45 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:39:48 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:39:50 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:39:52 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:42:09 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:42:10 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:42:12 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:42:14 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:42:15 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:42:42 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:42:44 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 00:42:45 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 01:33:52 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 01:33:53 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 01:34:02 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 01:34:06 UTC] PHP Warning:  Undefined array key "ambiente" in /var/www/donlolo.lan/pos/res/php/user_actions/traePlatosCarta.php on line 5
[27-Sep-2025 08:28:14 America/Bogota] PHP Warning:  PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Unknown column 'producto.descripcion_plato' in 'field list' in /var/www/donlolo.lan/res/php/Medoo.php on line 629
[27-Sep-2025 08:29:12 America/Bogota] PHP Warning:  PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Unknown column 'producto.descripcion_plato' in 'field list' in /var/www/donlolo.lan/res/php/Medoo.php on line 629
